review_text,cleaned_text,sentiment_vader,sentiment_blob,language,sentiment_swn
"Menu kopi aja gada snack jd emang tempat difokusin buat orng kerja dan nugas. Klo laper y tinggal keluar. Fasilitas mushola tdk ada, jd klo mau sholat keluar dulu. Bikin minum cepet, klo lg rame ya harap sabar aja. Klo disini ngga takut buat ninggal barang keluar bentar, laptop tas di taruh meja gitu wlpun sbnrnya ttp perlu hati2 karna bukan tanggung jawab staff kalo kehilangan. So far pelayanan, produknya, tempetnya aman. Seru buat nonton sunset ✨👍🏻",menu kopi aja gada snack jd emang difokusin orng kerja nugas klo laper y tinggal fasilitas mushola tdk jd klo sholat bikin minum cepet klo lg rame ya harap sabar aja klo ngga takut ninggal barang bentar laptop tas taruh meja gitu wlpun sbnrnya ttp hati karna tanggung staff kalo kehilangan so far pelayanan produknya tempetnya aman seru nonton sunset,Netral,Positif,id,neutral
"Couvee seturan sini cukup ramai ya, dan pas weekend bisa ramai banget sampai full tempat duduknya padahal disini pun sudah diperluas sampai lantai 2. Untuk lantai 1 indoornya lebih cocok untuk sekedar nugas ya sedangkan untuk lantai 2 lebih cocok untuk hang out sama teman. Pilihan menunya cukup banyak ya couvee baik yang kopi maupun non kopi. Mocktail nya disini juga enak seger banget ! Dan yang baru yang kemasan botolnya pun enak. Salah satu kelebihan disini untuk pilihan kopinya pun ada yang arabica dan robusta dan arabica disini pun sudah 100%. Favorit disini yang aku suka adalah black coffee nya. Menurutku kalo pas di seturan bisa jadi salah satu pilihan yaa",couvee seturan ramai ya pas weekend ramai banget full duduknya diperluas lantai lantai indoornya cocok sekedar nugas ya lantai cocok hang out teman pilihan menunya ya couvee kopi non kopi mocktail nya enak seger banget kemasan botolnya enak salah kelebihan pilihan kopinya arabica robusta arabica favorit suka black coffee nya menurutku kalo pas seturan salah pilihan yaa,Netral,Positif,id,negative
"Lokasi: Berada di dekat hotel merapi merbabu

Interiornya: Ruko

Ruangan: Indoor dan Semi outdoor

Fasilitas: Parkiran yang cukup menampung motor dan beberapa mobil, table yang cukup, WiFi

Suasana: Ramai dari jam buka hingga tutup

Menu: Kopi, non kopi, snack

Pelayanan: Ramah dan cepat

Harga: Standar cafe pada umumnya

Pembayaran: Cash, Qris

Rasa: Semua minuman disini enak dan manisnya enggak bikin eneg

Bagi yang belum pernah ke sini sangat direkomendasikan untuk mencoba tempat ini",lokasi hotel merapi merbabu interiornya ruko ruangan indoor semi outdoor fasilitas parkiran menampung motor mobil table wifi suasana ramai jam buka tutup menu kopi non kopi snack pelayanan ramah cepat harga standar cafe pembayaran cash qris minuman enak manisnya bikin eneg direkomendasikan mencoba,Netral,Netral,id,positive
"Pesen Pain au Chocolate di Grabfood setelah buka puasa. Datang dlm keadaan hangat ❤️ siap makan.
Rotinya enak bgt, lapisannya renyah & coklatnya juga melted, manisnya pas. Next mau cobain dtg langsung kesana",pesen pain au chocolate grabfood buka puasa dlm hangat makan rotinya enak bgt lapisannya renyah coklatnya melted manisnya pas next cobain dtg langsung kesana,Negatif,Netral,id,negative
"Couvee - Seturan adalah tempat yang cocok untuk kalian yang ingin nongkrong, WFA, ataupun WFC dan sedang berada di daerah Seturan, pilihan minuman yang dijual di sana variatif. Parkirannya luas, tempatnya enak.",couvee seturan cocok nongkrong wfa wfc daerah seturan pilihan minuman dijual variatif parkirannya luas tempatnya enak,Netral,Netral,id,positive
"Coffeeshop isinya staf2 sombong belagu, baru kerja gitu aja udah songong bgt gak karuan. Prett lah",coffeeshop isinya staf sombong belagu kerja gitu aja udah songong bgt gak karuan prett,Netral,Netral,id,neutral
"pelayanan sangat"" kurang, pesen kopi udah nunggu lama sejam lebih ga dipanggil ternyata ga dibuatkan sama baristanya",pelayanan pesen kopi udah nunggu sejam ga dipanggil ga dibuatkan baristanya,Netral,Netral,id,neutral
"Lokasi deket hotel Merapi merbabu. Parkir oke. Tempatnya lebih lega dan lebih estetik drpd yg jakal. Ruangan juga dingin. CM nya juga oke, tp kok seperti lebih manis dikit.",lokasi deket hotel merapi merbabu parkir oke tempatnya lega estetik drpd yg jakal ruangan dingin cm nya oke tp manis dikit,Netral,Netral,id,negative
"Salah satu toko kopi paling peek di Jogja. dengan 90% bangku terisi.

Sangat WFA friendly, indor, outdoor, semi outdoor.
Setiap sudutnya nyaman untuk kerja.

Soal rasa sepertinya semua warga tau Couvee, jadi sy jg bingung mau kasih feedback apa.

Oya, karna vibesnya mendukung, kerja dr kafe ini makin produktif.",salah toko kopi peek jogja bangku terisi wfa friendly indor outdoor semi outdoor sudutnya nyaman kerja warga tau couvee sy jg bingung kasih feedback oya karna vibesnya mendukung kerja dr kafe produktif,Positif,Positif,id,neutral
"salah satu coffee shop ter enak di jogja, terbukti dengan ramai nya, pokoknya couvee mana pun khususnya cabang seturan the best🔥👍🏼",salah coffee shop ter enak jogja terbukti ramai nya pokoknya couvee cabang seturan the best,Positif,Positif,id,negative
"Couvee my loveee. One of best coffee in town, semua menunya enaaak dari coffee dan non-coffee. Creamy, thick, flavorful. Matcha nya cintaa bggtt.

Tempatnya oke, sekarang udah makin luas kebelakang ada space baru. Indoornya ada sharing table ditengah sm beberapa meja ber4/ber2 dipinggir, ada banyak colokan dibawah meja. Didalem kadang adem bgt tp masih oke. Wifinya kenceng, enak buat nugas/wfc, skripsiku kelar disini hehehe thanks couvee😭. Ambience didalem oke buat produktif karna hampir semua orang laptopan. Paling suka couvee yg seturan",couvee my loveee one of best coffee in town menunya enaaak coffee noncoffee creamy thick flavorful matcha nya cintaa bggtt tempatnya oke udah luas kebelakang space indoornya sharing table ditengah sm meja berber dipinggir colokan dibawah meja didalem kadang adem bgt tp oke wifinya kenceng enak nugaswfc skripsiku kelar hehehe thanks couvee ambience didalem oke produktif karna orang laptopan suka couvee yg seturan,Positif,Positif,id,positive
"Kemari lagi pingin minum couvee kebetulan lagi di daerah senturan mampir beli disana, saya biasa pesan hzl dan coffenya minta dikurangi, akan tetapi dibikinin dengan coffe yang normal, padaha di cupnya sudah jelas kalau coffe minta dikurangi, akan tetapi barista bikin dengan normal coffe, saya menyadari itu karena saya biasa pesan, sudah sempat ditawarin buat diganti tp saya menolak karena buru buru, dan tampang mbk"" barista agak tdk mengenakan, saran saja minta tolong lagi lebih diperhatikan untuk riquesan custemernya.  Biar tidak terulang lagi kesalahannya.",kemari pingin minum couvee daerah senturan mampir beli disana pesan hzl coffenya dikurangi dibikinin coffe normal padaha cupnya coffe dikurangi barista bikin normal coffe menyadari pesan ditawarin diganti tp menolak buru buru tampang mbk barista tdk mengenakan saran tolong diperhatikan riquesan custemernya biar terulang kesalahannya,Netral,Positif,id,negative
"Good place, good coffee, good food, indoor dan outdoor tersedia dan cukup luas, enak buat sekedar nongkrong, kerjain tugas atau wfc cuma gak semua meja tersedia colokan",good place good coffee good food indoor outdoor tersedia luas enak sekedar nongkrong kerjain tugas wfc gak meja tersedia colokan,Positif,Positif,id,positive
"Selalu menjadi coffee shop pilihan untuk nugas, banyak coffee shop yang lebih nyaman tapi cuma couvee yang kopinya paling enak sejauh ini. Tempatnya selalu ramai dan ga terlalu luas, tapi oke aja sih. Semoga tempatnya segera diperluas dan btw di couvee blm ada musholanya. 😢",coffee shop pilihan nugas coffee shop nyaman couvee kopinya enak tempatnya ramai ga luas oke aja sih semoga tempatnya diperluas btw couvee blm musholanya,Netral,Netral,id,positive
"Alternatif tempat nugas ter-oke. Suasananya sangat mendukung untuk kerja/nugas. Paling enak dateng pagi banget pas abis buka, sekitar jam 9.30 an, masih fresh dan masih banyak pilihan tempat buat duduk. AC nya dingin poll..

Parkir motor oke lah. Kamar mandinya bersih. Minus gak ada mushollanya.",alternatif nugas teroke suasananya mendukung kerjanugas enak dateng pagi banget pas abis buka jam an fresh pilihan duduk ac nya dingin poll parkir motor oke kamar mandinya bersih minus gak mushollanya,Positif,Positif,id,negative
"Lantai atas gila terangnya ampe bikin mata sakit, ambiencenya ga cozy enak buat nugas atau nongkrong malah kayak di toko celluler terangnya ampe bikin mata sakit ini ngalah ngalahin lu mainan hp pas kamar udh dimatiin lampunya tapi brightness hp lu mentokin paling terang 😵 gaenak buat kerja/nongkrong diatas kalo malem saking terangnya udh laptop bikin mata sakit, ditambah ini lampunya gila terang bgt polusi cahaya kebanyakan masang lampu yang ga penting di spot yang sama lagi. cuma ada bbrp tempat yang enak ga terlalu terang (disudut"")",lantai gila terangnya ampe bikin mata sakit ambiencenya ga cozy enak nugas nongkrong kayak toko celluler terangnya ampe bikin mata sakit ngalah ngalahin lu mainan hp pas kamar udh dimatiin lampunya brightness hp lu mentokin terang gaenak kerjanongkrong diatas kalo malem saking terangnya udh laptop bikin mata sakit ditambah lampunya gila terang bgt polusi cahaya kebanyakan masang lampu ga spot bbrp enak ga terang disudut,Positif,Negatif,id,positive
"Rekomendasi aku dari tempat ini minuman ""Matcha Latte"" seharga 22k. Susunya benar-benar kental banget dan matchanya perfect 👍👍👍

Interiornya juga nyaman dan pendingin ruangannya (AC) lancar. Warna dominan dari interiornya ""beige"". Tidak boleh bawa makanan dan minuman dari luar tempat ini.",rekomendasi minuman matcha latte seharga k susunya benarbenar kental banget matchanya perfect interiornya nyaman pendingin ruangannya ac lancar warna dominan interiornya beige bawa makanan minuman,Positif,Positif,id,positive
"di setiap cabang, rasa kopinya agak beda. disini pesen caramel machiato dan rasanya manis, ga terlalu pahit, beda sama yg ada di cabang palagan. pelayanannya oke banget, tempatnya bersih dan wifi cepet xixi. cocok buat working space atau sekedar nongkrong",cabang kopinya beda pesen caramel machiato manis ga pahit beda yg cabang palagan pelayanannya oke banget tempatnya bersih wifi cepet xixi cocok working space sekedar nongkrong,Netral,Netral,id,negative
"Ini tuh enakk bgt😂 hargaa juga standar
tempat nyaa luas, nyaman , wifi lancar , ac dingin🫰🏻",tuh enakk bgt hargaa standar nyaa luas nyaman wifi lancar ac dingin,Netral,Netral,id,neutral
"Enak kopinya - creamy dan manis pas, harga bersaing, pelayanan baik, suasana cozy",enak kopinya creamy manis pas harga bersaing pelayanan suasana cozy,Netral,Negatif,id,negative
"Katanya couvee salah satu yg terbaik. Mampir deh. Bener dong 🤣🤣 pecinta creamy pasti jatuh hatiiiii. Balance semuanya. Cukup nyaman juga buat wfc. Tp ya kalo laper adanya pastry. Dengan rasa mirip mirip fori yaaa ini menang banyak sih karena jauh lebih murah dengan rasa yg juara kek gini.
Tempat jg lebih nyaman karena gak sedingin itu 🤣",couvee salah yg terbaik mampir deh bener pecinta creamy jatuh hatiiiii balance nyaman wfc tp ya kalo laper pastry fori yaaa menang sih murah yg juara kek gini jg nyaman gak sedingin,Netral,Netral,id,neutral
"Bestt, kopi enak, tempatnya nyaman buat wfc dan kamar mandinya tiap bentar dibersihin🤩",bestt kopi enak tempatnya nyaman wfc kamar mandinya bentar dibersihin,Netral,Netral,id,neutral
"Tempatnya cozy banget buat WFC atau ngerjain tugas, WiFi lumayan oke
Kopinya beneran mantap, suka yg Malacca sama Caramel Macchiato.",tempatnya cozy banget wfc ngerjain tugas wifi lumayan oke kopinya beneran mantap suka yg malacca caramel macchiato,Netral,Negatif,id,neutral
Kopi terenak yang pernah kuminum. Tempatnya seru banget banyak space2 yang asik terpisah2,kopi terenak kuminum tempatnya seru banget space asik terpisah,Netral,Netral,id,positive
"Langganan buat ngerjain tugass, wifi knceng kopi enakkkk apalagi javanya, kurangnya kenapa gaada musholanya ya:( saran yg bagian outdoor dikasi space buat mushola",langganan ngerjain tugass wifi knceng kopi enakkkk javanya kurangnya gaada musholanya ya saran yg outdoor dikasi space mushola,Netral,Netral,id,neutral
"Pertama kali kesini krn deeptalk sama orang penting

Kebetulan mereka nginep di hotel dafam sebelah warkop ini

Rame bener ya warkopnya 😅 jujur krn sy baru pertama kali ke warkop spt ini

Vibes vintage/calm/retronya cukup berasa

Ada ruang outdoor nya jg jd bs sambil menikmati atmosfer malam hari 😁",kali kesini krn deeptalk orang nginep hotel dafam sebelah warkop rame bener ya warkopnya jujur krn sy kali warkop spt vibes vintagecalmretronya berasa ruang outdoor nya jg jd bs menikmati atmosfer malam,Netral,Netral,id,neutral
"penasaran soalnya kata orang2 enak kopi nya. DAN enak beneran sih ini. yg melacca oke bgt.
trs tempat nya luas gt buat WFH cocok",penasaran orang enak kopi nya enak beneran sih yg melacca oke bgt trs nya luas gt wfh cocok,Positif,Netral,id,neutral
"Salah satu perkopian yang rasanya juga sesuai dengan definisi kopi. Sumpah kopine wenak….

Untuk susana memang cocok buat nugas dan kerja-kerja perlaptopan, hanya saja ada beberapa oknum mahasiswa yang naruh tasnya di meja kemudian ia ke belakang untuk ngobrol, pas udah ada niat, balik lagi ke mejanya.

Asline ora masalah, cuma kesane kui serakah ngunuuu. Tapi piye maneh namanya juga masih mahasiswa kannnn.

Btw rekomended sih ini.",salah perkopian sesuai definisi kopi sumpah kopine wenak susana cocok nugas kerjakerja perlaptopan oknum mahasiswa naruh tasnya meja ngobrol pas udah niat mejanya asline ora kesane kui serakah ngunuuu piye maneh namanya mahasiswa kannnn btw rekomended sih,Netral,Netral,id,positive
"kopinya oke, pilihannya banyak. paling suka duduk di bawah pohon, adem! recommended untuk yang lagi cari tempat nyaman untuk kerja atau sekadar nongkrong.",kopinya oke pilihannya suka duduk pohon adem recommended cari nyaman kerja nongkrong,Positif,Netral,id,neutral
"Overall : 8,5/10
Cafe yang Interiornya KEREN BGT, Bisa bgt buat nongkrong ato ga buat nugas ( Cuma bagian deket jendela blm ada colokannya)

Ada smoking area dibagian belakang jadi santuy bgt buat para smokers. Kopinya juga ENAK! (Tergantung selera masing2 sih wkwk)

Ada kursi tambahan yg cukup banyak, Parkiran lumayan luas dibagian belakang couveenya (ntar ada gang disamping masuk aja), Internetnya oke.

Siang sampe sore biasanya rameebet",overall cafe interiornya keren bgt bgt nongkrong ato ga nugas deket jendela blm colokannya smoking area dibagian santuy bgt smokers kopinya enak tergantung selera sih wkwk kursi tambahan yg parkiran lumayan luas dibagian couveenya ntar gang disamping masuk aja internetnya oke siang sampe sore rameebet,Negatif,Netral,id,positive
"TJAKEP !!!
Kopinya enak banget untuk harga segini, ada juga kopi susu yang khas dari coffee shop ini. Mending milih coffee shop sejenis ini daripada milih coffee shop yang overkill soal teknis bikin kopi yang belum tentu cocok buat semua lidah orang.
Menu non coffee juga enak, kebetulan pesan red velvet yang juga ajib rasanya.
Soal vibe, jawara deh.. konsep minimalis dan juga scandinavian (kyknya) mendukung suasana, awalnya yang aku kirain gabisa nampung orang banyak, eh ternyata bisa.. malah banyak yang nongkrong tapi nggak pakai meja.
Satu yang menurut pribadi agak bertentangan dengan kelestarian alam, yaitu cup plastik..",tjakep kopinya enak banget harga segini kopi susu khas coffee shop mending milih coffee shop sejenis milih coffee shop overkill teknis bikin kopi cocok lidah orang menu non coffee enak pesan red velvet ajib vibe jawara deh konsep minimalis scandinavian kyknya mendukung suasana kirain gabisa nampung orang eh nongkrong nggak pakai meja pribadi bertentangan kelestarian alam cup plastik,Netral,Netral,id,positive
"Never failed.
Tapi amaze sama abang parkirnya. Mau kasih kanebo basah d jok motor sebelum kita pakai. Biar ga kepanasan pas kita naik. Baru nemu disini.",never failed amaze abang parkirnya kasih kanebo basah d jok motor pakai biar ga kepanasan pas nemu,Netral,Positif,id,negative
"kesini beli kopi buat take away dengan kondisi keburu². nunggu stengah jam ga dipanggil², ternyata kopi gw diambil orang. pdhl gw belum dipanggil.

sbnrnya sempet liat driver grab ambil pesanan di 2 plastik, isi 2 cup + 1 cup. apakah pesanan dr 1 akun dipisah jd 2 plastik? gw rasa ngga. kayanya itu punya gw, tp masa gua ga dipanggil tp nyegat beliau? lain kali diteliti lg yg ngambil pesanan udh bnr belum. thx.",kesini beli kopi take away kondisi keburu nunggu stengah jam ga dipanggil kopi gw diambil orang pdhl gw dipanggil sbnrnya sempet liat driver grab ambil pesanan plastik isi cup cup pesanan dr akun dipisah jd plastik gw ngga kayanya gw tp gua ga dipanggil tp nyegat beliau kali diteliti lg yg ngambil pesanan udh bnr thx,Positif,Netral,id,neutral
"Kopi enak creamy berasa banget kopinya, tempat nyaman wifi kenceng tetapi di siang hari sangat rame",kopi enak creamy berasa banget kopinya nyaman wifi kenceng siang rame,Netral,Netral,id,neutral
"Good place coffee shop,staffnya ramah ramah,asikk",good place coffee shopstaffnya ramah ramahasikk,Positif,Positif,en,positive
"Kalo mau ke sini dan dine in itungannya kaya gacha, kadang sepi, kadang bisa penuh banget. Walau lokasinya udah diperlebar di bagian belakang, namun untuk yang indoor tetap saja super ramai. Saran saya sih datang dari pagi aja. Buat kopinya, salah satu yang terbaik di Jogja. No debat. Namun minusnya adalah tidak adanya menu makanan berat sehingga tidak bisa berlama lama di coffe shop ini. Air mineralnya pun cukup mahal dibandingkan tempat lain.",kalo dine in itungannya kaya gacha kadang sepi kadang penuh banget lokasinya udah diperlebar indoor super ramai saran sih pagi aja kopinya salah terbaik jogja no debat minusnya menu makanan berat berlama coffe shop air mineralnya mahal dibandingkan,Positif,Positif,id,positive
"worth it banget sihhh antri lamaaa ga heran, enak bgtt kopinyaaaaa",worth it banget sihhh antri lamaaa ga heran enak bgtt kopinyaaaaa,Positif,Positif,tl,neutral
"Mencari tempat buat wfc dan cobain tempat ini.
Tempatnya cozy dan nyaman buat kerja, kopinya juga enak.
Kl suka yg lebih creamy wajib cobain everyday latte dan kl mau yg kopinya lebih nendang, bisa cobain melacca",mencari wfc cobain tempatnya cozy nyaman kerja kopinya enak kl suka yg creamy wajib cobain everyday latte kl yg kopinya nendang cobain melacca,Netral,Negatif,id,positive
"tempat cukup luas di belakang, tukang parkir ramah dan membantu, kopi susu gula aren agak kemanisan. Perlu dikurangi sedikit lagi takaran gulanya. Vibes cukup asyik. Kalo bisa untuk dine in, jangan pakai gelas plastik. Papercup lebih baik.",luas tukang parkir ramah membantu kopi susu gula aren kemanisan dikurangi takaran gulanya vibes asyik kalo dine in pakai gelas plastik papercup,Netral,Netral,id,negative
"Caramel Machiatto nya enak, creamy, cocok utk yg suka kopi tdk strong. Less sugar aja sudah manis apalagi yg normal sugar, mungkin kemanisan.
Yg suka kopi strong rekomen dari baristanya yg Java, enak jg.
Banyak mahasiswa nugas jg, jadi rame.",caramel machiatto nya enak creamy cocok utk yg suka kopi tdk strong less sugar aja manis yg normal sugar kemanisan yg suka kopi strong rekomen baristanya yg java enak jg mahasiswa nugas jg rame,Positif,Positif,id,positive
"sering banget jajan disini semua produknya enak, favorit di java & caramel macchiato ❤️ baristanya ramah2 & helpful, pelayanan cepat banget tapi kalo pas lg rame dimohon bersabar 😅 suasana oke bgt buat wfc!",banget jajan produknya enak favorit java caramel macchiato baristanya ramah helpful pelayanan cepat banget kalo pas lg rame dimohon bersabar suasana oke bgt wfc,Positif,Netral,id,neutral
"Lokasi Couvee yang baru lebih luas daripada cabang utama yang ada di Jakal. Parkirannya luas, tempat nongkrongnya pun juga luas. Untuk menu sama saja seperti yang ada di cabang Jakal. Harganya pun sama tidak lebih mahal padahal lokasinya jauh lebih nyaman dan lebih luas. Interiornya juga khas Couvee banget deh. Mau di Jakal atau Seturan, rasa kopinya sama sama enaknya. Sukses terus, Couvee!",lokasi couvee luas cabang utama jakal parkirannya luas nongkrongnya luas menu cabang jakal harganya mahal lokasinya nyaman luas interiornya khas couvee banget deh jakal seturan kopinya enaknya sukses couvee,Netral,Netral,id,negative
