Transaction_ID,Date,Region,Product,Customer_Age,Customer_Gender,Customer_Segment,Sales_Channel,Units_Sold,Unit_Price,Discount,Tax,Revenue,Expenses,Profit,Profit_Margin,Operational_Inefficiency
TXN000073,2023-09-25,Central,Home Essentials,37,Female,Enterprise,Offline,7,684.55,108.23,130.79,4044.11,2451.74,1461.58,0.36,Normal
TXN000074,2020-04-01,West,Home Essentials,20,Non-Binary,Retail,Offline,4,566.16,159.15,55.53,3256.01,2538.98,661.5,0.2,High
TXN000075,2023-10-22,Central,Groceries,40,Female,Enterprise,Online,2,855.15,154.39,167.24,1447.88,771.32,509.32,0.35,Normal
TXN000076,2022-08-13,North,Electronics,57,Male,Retail,Offline,5,748.61,133.01,76.73,3588.85,1868.85,1643.27,0.46,Normal
TXN000077,2024-01-18,East,Furniture,38,Non-Binary,Wholesale,Offline,4,687.37,97.34,136.72,3900.01,2210.4,1552.89,0.4,Normal
TXN000078,2023-12-22,East,Furniture,30,Non-Binary,Wholesale,Mixed,5,209.38,43.91,25.94,1177.19,872.46,278.79,0.24,High
TXN000079,2021-05-23,West,Clothing,25,Non-Binary,Enterprise,Offline,3,665.77,125.45,38.39,2941.04,1945.34,957.31,0.33,Normal
TXN000080,2022-02-14,Central,Groceries,22,Male,Enterprise,Offline,4,496.74,106.1,51.46,2890.31,1960.5,878.35,0.3,Normal
TXN000081,2020-02-04,South,Furniture,42,Male,Enterprise,Online,5,782.43,223.23,137.7,4986.25,3151.04,1697.51,0.34,Normal
TXN000082,2020-07-24,Central,Clothing,56,Female,Retail,Offline,6,465.57,116.99,36.08,2725.63,1962.07,727.48,0.27,High
TXN000083,2023-01-09,North,Electronics,54,Female,Retail,Mixed,8,507.85,33.37,64.03,5986.63,4102.05,1820.55,0.3,Normal
TXN000084,2024-05-04,South,Groceries,58,Female,Enterprise,Online,3,426.82,126.27,76.0,1729.33,1022.67,630.66,0.36,Normal
TXN000085,2023-11-12,East,Groceries,22,Non-Binary,Retail,Offline,10,984.5,109.34,179.25,9858.8,7289.72,2389.83,0.24,High
TXN000086,2022-10-22,West,Home Essentials,25,Male,Retail,Offline,5,601.84,126.89,56.96,2453.31,1427.73,968.62,0.39,Normal
TXN000087,2022-10-18,West,Electronics,61,Female,Wholesale,Offline,7,913.16,187.35,46.16,5191.85,4100.05,1045.64,0.2,High
TXN000088,2023-11-14,East,Groceries,21,Male,Wholesale,Online,4,874.38,53.54,107.75,3737.05,2844.22,785.08,0.21,High
TXN000089,2021-07-19,North,Clothing,58,Non-Binary,Wholesale,Online,8,757.71,224.78,127.74,5762.65,3795.46,1839.45,0.32,Normal
TXN000090,2023-02-03,East,Furniture,39,Male,Enterprise,Offline,6,514.42,81.11,42.75,4617.92,3614.87,960.3,0.21,High
TXN000091,2024-11-30,North,Electronics,31,Male,Wholesale,Mixed,9,547.69,138.42,40.19,4615.75,2431.22,2144.34,0.46,Normal
TXN000092,2024-02-09,South,Electronics,36,Non-Binary,Wholesale,Offline,11,935.6,136.46,102.69,15978.71,8830.15,7045.87,0.44,Normal
TXN000093,2021-12-03,East,Groceries,30,Female,Retail,Online,6,246.08,35.29,23.12,1603.97,1185.54,395.31,0.25,High
TXN000094,2021-02-05,North,Groceries,52,Male,Wholesale,Online,6,788.11,170.53,68.6,6634.29,4351.83,2213.86,0.33,Normal
TXN000095,2021-12-30,South,Groceries,21,Male,Retail,Online,6,311.47,42.13,55.18,2410.15,1710.21,644.76,0.27,High
TXN000096,2024-04-28,East,Clothing,50,Non-Binary,Wholesale,Mixed,4,77.16,12.16,5.5,505.45,317.95,182.0,0.36,Normal
TXN000097,2020-06-10,West,Home Essentials,39,Male,Enterprise,Offline,7,406.99,68.69,24.76,3961.37,2460.87,1475.74,0.37,Normal
TXN000098,2020-07-20,East,Groceries,18,Male,Enterprise,Offline,7,531.95,83.98,37.71,4187.21,3136.21,1013.29,0.24,High
TXN000099,2022-09-22,Central,Home Essentials,28,Male,Wholesale,Online,5,149.23,18.99,18.53,654.89,480.32,156.04,0.24,High
TXN000100,2020-09-26,East,Home Essentials,33,Non-Binary,Wholesale,Offline,2,752.23,186.89,142.99,1131.86,653.34,335.53,0.3,Normal
TXN000101,2022-03-26,Central,Electronics,21,Male,Wholesale,Mixed,5,747.41,187.25,53.74,5593.5,3451.08,2088.68,0.37,Normal
TXN000102,2023-07-18,South,Furniture,46,Non-Binary,Enterprise,Mixed,5,736.06,179.84,137.14,3781.98,2674.67,970.17,0.26,High
TXN000103,2021-03-31,East,Furniture,56,Female,Retail,Offline,6,334.57,18.43,61.22,3793.46,2433.89,1298.35,0.34,Normal
TXN000104,2024-01-25,South,Clothing,61,Male,Retail,Offline,8,507.84,91.13,58.49,5695.91,3246.75,2390.67,0.42,Normal
TXN000105,2024-10-16,South,Clothing,55,Non-Binary,Wholesale,Offline,7,190.42,47.99,36.44,1016.39,655.77,324.18,0.32,Normal
TXN000106,2023-06-29,North,Furniture,41,Non-Binary,Enterprise,Offline,5,449.21,23.21,50.68,3240.82,1952.05,1238.09,0.38,Normal
TXN000107,2022-10-13,South,Furniture,69,Male,Retail,Offline,6,956.2,104.73,79.05,5165.4,3054.49,2031.86,0.39,Normal
TXN000108,2024-09-21,South,Electronics,26,Non-Binary,Wholesale,Offline,6,316.44,57.66,54.47,1561.47,795.99,711.01,0.46,Normal
TXN000109,2020-10-22,East,Electronics,25,Female,Enterprise,Online,3,67.95,9.83,8.82,180.68,126.67,45.19,0.25,High
TXN000110,2024-10-14,East,Furniture,31,Female,Enterprise,Online,5,326.14,80.53,42.47,1246.43,897.37,306.59,0.25,High
TXN000111,2021-12-20,West,Groceries,32,Female,Retail,Online,4,838.41,158.17,116.54,3825.36,2209.25,1499.57,0.39,Normal
TXN000112,2024-11-07,North,Groceries,39,Female,Enterprise,Mixed,5,908.67,204.07,48.14,3891.25,3086.37,756.74,0.19,High
TXN000113,2020-12-03,South,Electronics,54,Non-Binary,Wholesale,Mixed,5,29.35,1.69,1.87,176.45,140.29,34.29,0.19,High
TXN000114,2022-05-28,North,Home Essentials,32,Non-Binary,Wholesale,Mixed,8,490.7,41.31,25.99,6398.58,5002.02,1370.57,0.21,High
TXN000115,2022-12-12,Central,Furniture,23,Female,Retail,Mixed,4,949.15,167.92,116.78,4185.41,2255.74,1812.89,0.43,Normal
TXN000116,2022-03-02,South,Clothing,18,Female,Enterprise,Online,4,143.18,36.65,15.79,824.0,630.92,177.29,0.22,High
TXN000117,2020-08-04,North,Groceries,37,Female,Retail,Offline,5,81.37,5.46,15.84,463.13,277.41,169.88,0.37,Normal
TXN000118,2022-02-02,West,Home Essentials,58,Female,Retail,Offline,8,762.92,41.8,120.13,10205.31,5574.0,4511.18,0.44,Normal
TXN000119,2020-07-06,West,Groceries,53,Female,Enterprise,Offline,8,647.23,137.19,104.29,5927.61,3998.81,1824.51,0.31,Normal
TXN000120,2021-01-14,South,Home Essentials,19,Non-Binary,Retail,Mixed,3,726.76,119.19,67.2,2951.58,1573.1,1311.28,0.44,Normal
TXN000121,2021-05-07,Central,Furniture,23,Female,Enterprise,Online,4,286.39,35.54,41.93,1914.76,1175.45,697.38,0.36,Normal
TXN000122,2022-11-30,West,Furniture,19,Female,Wholesale,Offline,5,415.27,36.02,28.86,2362.09,1350.07,983.16,0.42,Normal
TXN000123,2023-03-26,West,Furniture,20,Male,Retail,Mixed,5,582.15,71.91,70.91,5095.02,3362.54,1661.57,0.33,Normal
TXN000124,2020-01-15,Central,Electronics,24,Non-Binary,Enterprise,Mixed,6,765.92,88.84,120.9,6612.4,4454.76,2036.74,0.31,Normal
TXN000125,2020-03-05,North,Home Essentials,37,Female,Enterprise,Mixed,3,332.31,21.03,57.7,1820.82,1262.8,500.32,0.27,Normal
TXN000126,2021-06-04,West,Clothing,66,Non-Binary,Enterprise,Offline,8,417.36,83.54,70.72,4614.6,2928.7,1615.18,0.35,Normal
TXN000127,2023-09-29,East,Clothing,58,Male,Retail,Online,5,545.7,143.92,38.12,2009.36,1231.68,739.56,0.37,Normal
TXN000128,2023-02-26,West,Furniture,58,Male,Wholesale,Offline,10,26.16,6.06,2.78,385.03,250.75,131.5,0.34,Normal
TXN000129,2021-10-09,North,Clothing,68,Female,Retail,Online,6,850.03,173.71,85.53,4078.35,2526.72,1466.1,0.36,Normal
TXN000130,2024-02-04,North,Groceries,22,Female,Wholesale,Online,9,631.51,78.88,82.51,8869.8,6991.74,1795.55,0.2,High
TXN000131,2022-12-22,South,Home Essentials,42,Female,Retail,Offline,8,100.74,18.31,10.08,938.28,732.67,195.53,0.21,High
TXN000132,2023-03-08,East,Home Essentials,55,Female,Retail,Offline,5,366.36,43.39,44.1,3160.36,2106.14,1010.12,0.32,Normal
TXN000133,2024-03-02,North,Home Essentials,35,Male,Retail,Mixed,8,195.52,17.17,18.84,2765.06,1732.8,1013.42,0.37,Normal
TXN000134,2021-08-15,Central,Groceries,18,Non-Binary,Wholesale,Mixed,7,58.94,4.34,5.29,440.81,280.81,154.71,0.35,Normal
TXN000135,2021-01-26,East,Electronics,42,Female,Enterprise,Offline,11,324.85,23.03,24.25,5698.44,4539.84,1134.35,0.2,High
TXN000136,2024-08-25,East,Groceries,34,Non-Binary,Retail,Offline,9,875.57,145.28,91.25,7175.52,4249.33,2834.94,0.4,Normal
TXN000137,2021-02-22,Central,Home Essentials,63,Female,Retail,Online,4,86.02,19.8,7.55,502.07,319.9,174.62,0.35,Normal
TXN000138,2020-10-15,West,Home Essentials,32,Female,Wholesale,Online,4,879.77,147.04,83.87,2981.13,2003.47,893.79,0.3,Normal
TXN000139,2021-01-13,Central,Home Essentials,22,Male,Retail,Mixed,7,233.82,46.32,23.59,2114.39,1110.72,980.08,0.46,Normal
TXN000140,2024-12-01,Central,Clothing,34,Female,Enterprise,Online,3,956.22,183.19,61.57,2923.52,1810.13,1051.82,0.36,Normal
TXN000141,2024-02-22,West,Electronics,38,Female,Enterprise,Offline,6,235.29,29.77,16.86,2337.35,1346.99,973.5,0.42,Normal
TXN000142,2020-08-18,West,Groceries,40,Female,Wholesale,Online,7,858.88,240.62,69.08,4887.79,3272.61,1546.1,0.32,Normal
TXN000143,2022-10-14,West,Home Essentials,60,Male,Wholesale,Online,4,919.3,215.06,124.38,2853.44,1664.51,1064.55,0.37,Normal
TXN000144,2020-02-10,West,Furniture,27,Non-Binary,Enterprise,Online,7,923.66,213.0,105.03,9075.27,5801.73,3168.51,0.35,Normal
TXN000145,2022-11-17,West,Electronics,34,Male,Enterprise,Offline,4,141.28,24.98,7.43,537.99,352.11,178.45,0.33,Normal
TXN000146,2020-05-14,Central,Furniture,18,Female,Enterprise,Mixed,9,677.66,66.03,132.34,10264.99,6056.08,4076.57,0.4,Normal
TXN000147,2020-07-19,South,Electronics,54,Female,Wholesale,Online,6,826.91,130.24,87.42,5615.63,4073.44,1454.77,0.26,High
TXN000148,2022-02-18,South,Home Essentials,65,Female,Enterprise,Offline,6,741.22,78.58,87.67,7448.68,3950.96,3410.05,0.46,Normal
TXN000149,2022-07-18,North,Electronics,24,Non-Binary,Enterprise,Online,7,484.01,47.1,40.57,4159.03,2282.66,1835.8,0.44,Normal
TXN000150,2022-11-22,South,Electronics,29,Non-Binary,Enterprise,Online,7,942.53,70.94,101.95,7254.1,3688.1,3464.05,0.48,Normal
TXN000151,2022-12-07,South,Home Essentials,57,Female,Retail,Offline,5,196.22,22.95,21.82,1125.61,597.3,506.49,0.45,Normal
TXN000152,2021-05-17,Central,Furniture,67,Female,Wholesale,Online,4,880.04,192.36,96.41,5096.51,2988.57,2011.53,0.39,Normal
TXN000153,2021-02-10,West,Furniture,18,Non-Binary,Wholesale,Offline,8,256.28,62.43,15.51,2829.15,1510.91,1302.73,0.46,Normal
TXN000154,2024-05-16,West,Clothing,37,Male,Wholesale,Mixed,6,461.53,130.95,83.24,3674.98,2319.83,1271.91,0.35,Normal
TXN000155,2024-10-17,Central,Furniture,61,Male,Wholesale,Online,2,473.29,82.27,25.47,799.15,461.33,312.35,0.39,Normal
TXN000156,2022-03-15,South,Furniture,48,Non-Binary,Retail,Offline,9,303.63,64.98,45.37,4248.7,2795.23,1408.1,0.33,Normal
TXN000157,2020-04-08,Central,Electronics,21,Non-Binary,Retail,Online,9,298.44,85.4,23.26,3826.2,2660.69,1142.25,0.3,Normal
TXN000158,2021-11-14,North,Clothing,43,Female,Retail,Online,7,386.09,84.16,74.96,2405.55,1893.24,437.35,0.18,High
TXN000159,2021-12-26,West,Home Essentials,29,Non-Binary,Retail,Online,2,32.68,7.44,3.0,73.55,57.84,12.71,0.17,High
TXN000160,2024-04-19,East,Home Essentials,39,Non-Binary,Retail,Offline,7,257.12,63.03,25.32,2682.18,1917.11,739.75,0.28,High
TXN000161,2022-08-18,North,Groceries,18,Female,Wholesale,Offline,4,952.21,105.72,125.07,3843.81,2685.17,1033.57,0.27,Normal
TXN000162,2024-10-28,North,Clothing,18,Non-Binary,Wholesale,Offline,4,724.74,176.27,99.04,2321.05,1494.46,727.55,0.31,Normal
TXN000163,2021-09-04,Central,Electronics,20,Female,Wholesale,Mixed,6,455.78,124.42,60.11,2091.7,1472.35,559.24,0.27,High
TXN000164,2024-01-25,South,Groceries,29,Male,Retail,Online,3,20.96,1.4,1.57,100.26,75.96,22.73,0.23,High
TXN000165,2021-10-04,West,Groceries,38,Male,Enterprise,Offline,3,713.93,197.69,78.66,1549.93,1212.75,258.52,0.17,High
TXN000166,2024-11-27,East,Home Essentials,30,Male,Wholesale,Online,4,503.06,63.18,42.66,2165.96,1591.51,531.79,0.25,High
TXN000167,2022-10-25,North,Furniture,30,Female,Wholesale,Online,4,663.17,175.74,40.99,2033.43,1505.99,486.45,0.24,High
TXN000168,2023-05-26,East,Electronics,58,Male,Enterprise,Online,8,406.44,25.43,35.35,5467.93,3103.98,2328.6,0.43,Normal
TXN000169,2021-05-17,South,Clothing,35,Male,Retail,Offline,11,20.76,5.83,2.97,304.28,232.09,69.22,0.23,High
TXN000170,2022-02-05,South,Groceries,50,Female,Enterprise,Mixed,8,591.97,76.63,63.83,7381.32,5365.7,1951.79,0.26,High
TXN000171,2021-02-01,East,Electronics,23,Female,Enterprise,Mixed,6,792.57,192.77,147.04,6340.03,3811.03,2381.96,0.38,Normal
TXN000172,2022-05-20,West,Home Essentials,42,Male,Wholesale,Mixed,4,232.3,16.73,33.27,1581.45,859.97,688.21,0.44,Normal
TXN000173,2022-03-05,South,Groceries,40,Male,Wholesale,Mixed,6,669.45,168.92,70.51,5844.16,3321.04,2452.61,0.42,Normal
TXN000174,2021-01-27,East,Groceries,41,Male,Retail,Offline,8,364.48,50.22,70.59,4334.56,2323.08,1940.89,0.45,Normal
TXN000175,2020-07-25,North,Home Essentials,54,Non-Binary,Enterprise,Mixed,5,836.5,228.17,151.4,3939.92,2452.59,1335.93,0.34,Normal
TXN000176,2022-11-04,East,Home Essentials,43,Female,Retail,Mixed,7,449.11,80.32,51.61,2799.45,2232.88,514.96,0.18,High
TXN000177,2024-04-26,East,Home Essentials,21,Female,Enterprise,Offline,11,81.44,22.56,13.67,1264.06,701.86,548.53,0.43,Normal
TXN000178,2022-06-10,Central,Electronics,55,Female,Wholesale,Offline,6,538.64,96.74,81.1,4456.62,2897.54,1477.98,0.33,Normal
TXN000179,2024-01-24,South,Electronics,52,Female,Enterprise,Online,4,615.49,164.69,74.99,3066.78,1574.52,1417.27,0.46,Normal
TXN000180,2024-09-10,West,Electronics,66,Male,Retail,Online,4,333.26,59.06,46.63,1128.19,861.89,219.67,0.19,High
TXN000181,2024-05-17,West,Furniture,28,Female,Enterprise,Mixed,2,96.06,15.24,12.95,298.49,224.6,60.94,0.2,High
TXN000182,2022-05-13,Central,Groceries,53,Non-Binary,Retail,Online,7,758.08,181.8,64.24,7569.05,3823.63,3681.18,0.49,Normal
TXN000183,2022-01-12,West,Electronics,42,Non-Binary,Enterprise,Offline,4,550.07,76.81,44.06,3033.7,1779.85,1209.79,0.4,Normal
TXN000184,2023-06-18,East,Furniture,37,Male,Wholesale,Online,7,225.54,53.08,33.2,1949.84,1263.39,653.25,0.34,Normal
TXN000185,2021-07-17,Central,Groceries,18,Male,Wholesale,Online,12,203.64,32.78,21.12,2805.18,1749.13,1034.93,0.37,Normal
TXN000186,2022-10-17,North,Electronics,47,Female,Retail,Offline,4,555.04,53.67,31.68,2044.46,1422.26,590.52,0.29,Normal
TXN000187,2020-04-05,South,Home Essentials,21,Male,Wholesale,Mixed,5,323.44,95.08,52.94,2281.69,1368.44,860.31,0.38,Normal
TXN000188,2024-10-23,South,Clothing,40,Male,Enterprise,Online,8,697.4,82.51,64.2,5113.5,2690.4,2358.9,0.46,Normal
TXN000189,2021-04-29,South,Electronics,52,Male,Enterprise,Online,3,361.79,50.64,64.99,1814.65,1338.78,410.88,0.23,High
TXN000190,2023-12-01,East,Clothing,59,Non-Binary,Wholesale,Mixed,7,481.06,87.46,28.47,3452.57,2508.16,915.94,0.27,High
TXN000191,2020-08-18,North,Electronics,39,Female,Retail,Online,7,78.53,19.66,10.32,465.41,285.85,169.24,0.36,Normal
TXN000192,2022-01-18,Central,Home Essentials,48,Male,Enterprise,Mixed,4,471.74,77.43,37.01,2606.33,1390.27,1179.05,0.45,Normal
