Location,Property_Type,Bedrooms,Amenities,Price_Per_Night,Occupancy_Rate,Total_Revenue,Month,Holiday_Season,Rating,Num_Reviews
Bandung,Studio,3,"Gym, Parking",30.37,0.91,829.1,4,0,4.2,352
Yogyakarta,Studio,4,"Pool, WiFi, Kitchen",220.06,0.43,2838.77,1,0,3.3,250
Bali,Apartment,4,"Pool, WiFi, Kitchen",127.75,0.78,2989.35,2,0,4.8,393
Bali,House,3,"Kitchen, Parking, Pool",229.26,0.75,5158.35,7,1,4.3,212
Bali,House,3,"Gym, Air Conditioning, Kitchen, WiFi",184.85,0.58,3216.39,2,0,4.2,235
Bandung,Apartment,4,"Kitchen, Pool",91.42,0.43,1179.32,5,0,5.0,187
Bandung,Studio,3,"Air Conditioning, Parking",148.45,0.9,4008.15,4,0,4.0,486
Surabaya,House,5,"Air Conditioning, Kitchen, Pool, Parking, WiFi",197.93,0.74,4394.05,12,1,4.2,170
Surabaya,Apartment,3,"Gym, Air Conditioning, WiFi, Parking",246.03,0.48,3542.83,5,0,4.7,470
Bandung,Apartment,4,"Parking, WiFi, Air Conditioning, Gym, Kitchen",149.86,0.92,4136.14,4,0,3.9,100
Yogyakarta,House,4,"WiFi, Air Conditioning, Pool, Gym, Parking",200.11,0.61,3662.01,7,1,4.4,13
Bandung,Studio,4,"Parking, Kitchen, Pool",139.47,0.91,3807.53,7,1,3.6,484
Yogyakarta,House,5,"Kitchen, Air Conditioning",75.55,0.63,1427.89,6,1,5.0,90
Yogyakarta,Villa,4,"Parking, Air Conditioning",156.87,0.93,4376.67,10,0,3.9,153
Yogyakarta,Apartment,1,"Kitchen, Parking, WiFi",70.57,0.42,889.18,11,0,4.0,137
Yogyakarta,Studio,3,"Air Conditioning, Pool",152.45,0.83,3796.0,9,0,4.1,282
Bali,Villa,3,"Parking, WiFi, Pool, Kitchen",245.3,0.68,5004.12,4,0,4.6,435
Bandung,House,3,"Gym, Air Conditioning, Parking",149.84,0.63,2831.98,8,0,3.0,307
Bandung,Studio,2,"Air Conditioning, Parking, Pool, WiFi, Kitchen",295.61,0.49,4345.47,5,0,3.1,28
Bali,Apartment,5,"Kitchen, Pool",295.87,0.88,7810.97,6,1,4.0,366
Bali,Apartment,2,"Parking, Air Conditioning, Pool",198.29,0.52,3093.32,11,0,4.9,478
Jakarta,Villa,4,"Gym, Parking",80.6,0.88,2127.84,4,0,4.3,189
Bandung,Apartment,2,"Kitchen, Parking, Gym, Pool",227.08,0.41,2793.08,6,1,3.2,218
Jakarta,House,3,"Air Conditioning, Parking, WiFi, Pool, Kitchen",274.17,0.78,6415.58,5,0,3.8,396
Surabaya,Studio,3,"Gym, Air Conditioning",214.7,0.72,4637.52,7,1,4.2,167
Surabaya,Villa,1,"Pool, Gym, Parking, WiFi, Air Conditioning",110.09,0.59,1948.59,3,0,4.2,122
Yogyakarta,Villa,3,"Air Conditioning, Pool, WiFi, Kitchen, Parking",59.5,0.93,1660.05,6,1,4.7,112
Bandung,Apartment,1,"Kitchen, Gym, Air Conditioning, Parking, WiFi",236.1,0.9,6374.7,1,0,3.2,144
Yogyakarta,House,2,"Air Conditioning, Gym",114.2,0.87,2980.62,12,1,4.4,335
Jakarta,Villa,3,"Air Conditioning, Kitchen, Parking",206.86,0.78,4840.52,7,1,3.8,89
Bali,Apartment,2,"Parking, Kitchen, Gym",163.14,0.68,3328.06,4,0,3.1,291
Surabaya,House,5,"Kitchen, WiFi, Gym, Air Conditioning",286.17,0.81,6953.93,12,1,3.2,339
Bandung,Studio,1,"Gym, Air Conditioning",276.75,0.51,4234.28,8,0,4.0,379
Bali,Studio,1,"Air Conditioning, Gym, Kitchen, Parking, WiFi",59.38,0.67,1193.54,6,1,3.6,99
Jakarta,House,5,"Pool, Air Conditioning, Gym, Kitchen, Parking",158.55,0.56,2663.64,10,0,3.7,119
Yogyakarta,Apartment,3,"Air Conditioning, Parking, Pool",89.79,0.51,1373.79,2,0,4.6,97
Surabaya,Villa,4,"Parking, WiFi, Kitchen, Air Conditioning, Pool",161.7,0.91,4414.41,8,0,4.5,106
Bali,Villa,1,"WiFi, Parking, Gym, Pool",75.42,0.86,1945.84,10,0,4.0,449
Bali,Villa,1,"Gym, Pool, WiFi",254.4,0.69,5266.08,5,0,3.4,424
Bandung,Villa,1,"Gym, Parking, Kitchen, Air Conditioning",218.6,0.74,4852.92,1,0,3.7,414
Bali,Studio,5,"Pool, Air Conditioning, WiFi, Gym, Parking",203.31,0.67,4086.53,3,0,3.8,499
Yogyakarta,Apartment,4,"WiFi, Kitchen, Air Conditioning, Parking",94.11,0.62,1750.45,6,1,4.0,368
Jakarta,Villa,5,"Gym, WiFi, Parking, Air Conditioning, Kitchen",95.36,0.73,2088.38,8,0,3.8,439
Bali,Apartment,1,"WiFi, Air Conditioning, Pool, Gym",203.3,0.59,3598.41,3,0,3.7,122
Yogyakarta,Studio,3,"WiFi, Pool, Kitchen",227.41,0.5,3411.15,9,0,3.1,29
Bali,House,4,"Kitchen, WiFi",143.3,0.53,2278.47,9,0,4.5,341
Surabaya,Apartment,1,"Gym, Kitchen",286.55,0.56,4814.04,7,1,4.5,491
Surabaya,Apartment,4,"Kitchen, Parking, WiFi, Pool",193.97,0.8,4655.28,12,1,3.2,153
Surabaya,Apartment,1,"WiFi, Kitchen, Gym",103.34,0.8,2480.16,2,0,3.2,38
Bandung,Apartment,2,"Kitchen, Parking, WiFi, Air Conditioning, Pool",106.35,0.74,2360.97,12,1,3.5,41
Bali,Villa,3,"Pool, WiFi, Kitchen",82.05,0.82,2018.43,2,0,4.6,366
Surabaya,Villa,3,"Air Conditioning, Kitchen, Pool, WiFi, Gym",212.0,0.93,5914.8,7,1,5.0,148
Jakarta,Apartment,1,"Pool, Air Conditioning, Kitchen, Parking",114.31,0.55,1886.12,1,0,4.4,361
Surabaya,Apartment,5,"Kitchen, WiFi, Pool",191.89,0.59,3396.45,5,0,4.9,413
Surabaya,Studio,2,"Parking, WiFi, Air Conditioning, Kitchen",125.7,0.55,2074.05,5,0,3.7,10
Surabaya,Apartment,5,"Gym, Kitchen, WiFi, Parking",269.02,0.84,6779.3,6,1,4.6,159
Bali,Studio,3,"Gym, Pool, WiFi, Parking, Air Conditioning",84.12,0.44,1110.38,4,0,3.7,473
Yogyakarta,Studio,4,"Air Conditioning, Parking",47.43,0.93,1323.3,12,1,4.4,431
Bandung,Apartment,1,"Parking, Pool",203.47,0.51,3113.09,5,0,3.7,230
Bandung,Apartment,3,"Air Conditioning, Gym, Pool, Parking, WiFi",71.29,0.51,1090.74,7,1,3.5,129
Bali,Apartment,3,"Parking, WiFi, Air Conditioning, Gym, Kitchen",284.43,0.51,4351.78,10,0,4.1,235
Surabaya,Studio,1,"Gym, Kitchen, Pool",93.38,0.93,2605.3,11,0,4.2,331
Bali,Apartment,2,"Gym, Kitchen, WiFi, Pool",290.48,0.54,4705.78,12,1,3.2,430
Yogyakarta,House,5,"Gym, WiFi, Pool, Parking, Kitchen",59.97,0.83,1493.25,12,1,4.6,193
Bandung,House,3,"Parking, Kitchen",296.53,0.4,3558.36,1,0,3.6,113
Yogyakarta,Studio,1,"WiFi, Parking, Kitchen, Air Conditioning",211.31,0.79,5008.05,2,0,3.8,177
Bali,Studio,1,"Gym, Pool, Parking",292.29,0.68,5962.72,6,1,3.2,393
Bali,House,5,"Kitchen, Pool, Gym, Air Conditioning, WiFi",170.5,0.63,3222.45,2,0,4.1,200
Bandung,Villa,3,"Pool, Gym, Kitchen",268.46,0.62,4993.36,8,0,3.5,48
Jakarta,Studio,1,"Gym, Kitchen, Parking, Air Conditioning, Pool",64.83,0.85,1653.16,9,0,3.5,266
Jakarta,Studio,1,"Parking, Air Conditioning, Pool",54.8,0.58,953.52,6,1,3.7,203
Surabaya,Villa,4,"WiFi, Pool, Parking",270.09,0.43,3484.16,4,0,3.3,139
Jakarta,Villa,5,"Gym, Pool, Parking, WiFi, Kitchen",30.62,0.43,395.0,2,0,4.8,193
Bali,House,1,"Air Conditioning, Gym, WiFi, Pool",170.43,0.47,2403.06,8,0,3.5,420
Surabaya,Villa,3,"Parking, Kitchen, Air Conditioning, Pool, WiFi",123.48,0.5,1852.2,8,0,4.6,91
Jakarta,Apartment,5,"Pool, WiFi, Kitchen",208.92,0.43,2695.07,5,0,4.0,134
Yogyakarta,Apartment,4,"Parking, Kitchen, WiFi, Pool, Gym",296.2,0.73,6486.78,1,0,3.4,418
Bandung,Studio,2,"WiFi, Pool, Gym, Kitchen",43.65,0.47,615.47,10,0,4.2,10
Jakarta,House,2,"Gym, Air Conditioning",116.0,0.77,2679.6,5,0,4.1,48
Jakarta,Villa,2,"Gym, Parking, Pool, WiFi",129.82,0.47,1830.46,4,0,3.0,353
Jakarta,House,2,"Parking, Pool, Kitchen, WiFi, Gym",51.03,0.54,826.69,4,0,4.3,197
Yogyakarta,Apartment,5,"Gym, Air Conditioning, Kitchen, Parking, Pool",202.25,0.83,5036.02,6,1,3.4,241
Surabaya,House,5,"Gym, Kitchen, WiFi, Air Conditioning",54.21,0.94,1528.72,3,0,4.2,348
Bali,Apartment,5,"Pool, Gym, WiFi, Air Conditioning",106.91,0.65,2084.74,11,0,4.0,353
Surabaya,Studio,5,"Gym, WiFi, Air Conditioning, Pool, Parking",141.98,0.79,3364.93,6,1,5.0,344
Bali,Studio,1,"Air Conditioning, Parking, Gym, WiFi",235.47,0.5,3532.05,5,0,3.7,177
Bali,Studio,1,"Parking, Pool, Air Conditioning",236.46,0.48,3405.02,11,0,3.2,67
Yogyakarta,Studio,1,"Kitchen, WiFi",94.9,0.45,1281.15,9,0,4.1,369
Yogyakarta,House,4,"Pool, Kitchen",53.07,0.93,1480.65,4,0,3.9,150
Surabaya,House,4,"Pool, Parking, Gym, Kitchen, Air Conditioning",182.01,0.7,3822.21,8,0,4.4,31
Bali,Apartment,1,"WiFi, Pool, Gym, Air Conditioning",52.94,0.74,1175.27,6,1,4.8,379
Jakarta,House,4,"WiFi, Air Conditioning, Pool, Kitchen, Gym",104.93,0.63,1983.18,6,1,4.6,410
Surabaya,Villa,2,"WiFi, Gym, Parking, Air Conditioning, Pool",282.88,0.68,5770.75,6,1,3.7,176
Bali,Villa,4,"Air Conditioning, Parking, Gym",261.83,0.52,4084.55,2,0,4.6,377
Bandung,Studio,2,"Parking, Gym, Air Conditioning, Pool",214.06,0.84,5394.31,9,0,3.1,149
Bandung,House,5,"Air Conditioning, Gym, Kitchen",191.8,0.84,4833.36,2,0,3.5,348
Bandung,Studio,4,"Air Conditioning, Parking, Kitchen, WiFi, Pool",298.29,0.89,7964.34,12,1,3.7,285
Jakarta,Studio,4,"WiFi, Kitchen, Air Conditioning, Gym",128.79,0.86,3322.78,8,0,4.5,340
Jakarta,House,4,"Parking, Kitchen, Air Conditioning",67.89,0.53,1079.45,1,0,4.7,428
Surabaya,Studio,1,"Parking, Air Conditioning, Pool, Gym, Kitchen",61.61,0.9,1663.47,3,0,3.4,90
Yogyakarta,Villa,5,"Kitchen, WiFi, Pool",117.69,0.95,3354.16,6,1,3.9,40
Surabaya,House,1,"Kitchen, Air Conditioning",70.11,0.66,1388.18,4,0,4.5,330
Bandung,House,3,"Parking, Kitchen, Pool",168.36,0.84,4242.67,6,1,5.0,43
Yogyakarta,Apartment,2,"Parking, Gym, Pool, WiFi, Air Conditioning",187.82,0.85,4789.41,9,0,3.3,193
Bali,Studio,5,"Pool, Air Conditioning, WiFi, Parking, Gym",75.13,0.76,1712.96,4,0,4.9,469
Surabaya,House,4,"Kitchen, Air Conditioning, Gym",292.49,0.64,5615.81,1,0,3.3,334
Surabaya,Villa,4,"Gym, Pool, Air Conditioning, WiFi, Kitchen",57.06,0.75,1283.85,4,0,4.2,224
Jakarta,Villa,5,"WiFi, Kitchen, Pool, Air Conditioning, Parking",79.95,0.81,1942.79,11,0,4.6,199
Bali,Villa,4,"Air Conditioning, Pool, Kitchen, WiFi, Parking",65.67,0.8,1576.08,4,0,4.7,367
Bali,Villa,2,"Pool, Kitchen, Air Conditioning",72.86,0.92,2010.94,9,0,3.5,238
Jakarta,Studio,3,"Pool, Parking",211.85,0.83,5275.06,6,1,5.0,227
Yogyakarta,Villa,5,"Air Conditioning, Gym",102.99,0.93,2873.42,3,0,3.3,485
Bali,House,2,"Kitchen, WiFi, Gym",270.89,0.47,3819.55,6,1,4.7,162
Bali,Studio,1,"Air Conditioning, Parking, Kitchen",150.92,0.83,3757.91,9,0,4.7,449
Jakarta,Studio,1,"Air Conditioning, Pool, Parking, WiFi",185.68,0.58,3230.83,5,0,3.6,68
Bandung,House,4,"Pool, Parking, Air Conditioning, Kitchen",149.19,0.79,3535.8,5,0,3.2,457
Yogyakarta,Studio,4,"Pool, Kitchen, Air Conditioning",37.82,0.5,567.3,10,0,3.4,492
Bali,Villa,3,"Pool, WiFi, Kitchen, Air Conditioning",115.44,0.94,3255.41,12,1,3.7,292
Bali,Villa,1,"WiFi, Pool, Gym, Parking",264.22,0.5,3963.3,5,0,3.1,66
Yogyakarta,House,2,"Gym, Parking, WiFi, Air Conditioning",113.2,0.67,2275.32,6,1,4.2,151
Bandung,Villa,1,"Air Conditioning, Gym, Pool",258.05,0.54,4180.41,8,0,4.8,79
Yogyakarta,Villa,1,"Air Conditioning, Pool, Parking, Gym",228.51,0.56,3838.97,11,0,5.0,481
Surabaya,Apartment,4,"Pool, Parking, WiFi",274.7,0.78,6427.98,2,0,3.1,449
Jakarta,House,4,"Pool, WiFi, Kitchen",106.9,0.66,2116.62,4,0,4.8,438
Surabaya,Studio,4,"Air Conditioning, WiFi, Kitchen, Parking",72.05,0.42,907.83,2,0,4.0,269
Jakarta,Apartment,1,"Kitchen, WiFi",224.64,0.94,6334.85,11,0,3.9,40
Bandung,House,1,"Gym, Pool, Kitchen, Parking",50.11,0.62,932.05,9,0,3.3,189
Bandung,Villa,2,"Parking, Kitchen",221.67,0.79,5253.58,6,1,3.4,73
Bandung,House,2,"Kitchen, Parking, Air Conditioning, WiFi",35.44,0.74,786.77,2,0,4.0,464
Yogyakarta,Studio,1,"Kitchen, Parking, WiFi, Gym",135.91,0.67,2731.79,5,0,4.2,487
Surabaya,Studio,5,"Pool, Gym, Parking, Air Conditioning, WiFi",120.05,0.46,1656.69,3,0,3.1,144
Jakarta,Villa,2,"Kitchen, Gym",110.07,0.71,2344.49,6,1,4.5,98
Bandung,Villa,5,"Air Conditioning, WiFi, Parking, Kitchen",218.28,0.9,5893.56,10,0,4.5,486
Yogyakarta,Studio,2,"Air Conditioning, Pool, WiFi",78.33,0.56,1315.94,3,0,3.6,486
Bandung,Apartment,1,"Parking, Gym, WiFi",123.53,0.44,1630.6,11,0,4.4,270
Surabaya,Studio,2,"Gym, Kitchen, Air Conditioning, Parking",165.04,0.51,2525.11,5,0,3.7,25
Bali,Villa,5,"Parking, WiFi, Kitchen",88.81,0.65,1731.8,7,1,4.7,316
Bandung,Apartment,5,"Parking, Pool",221.8,0.83,5522.82,7,1,4.4,333
Surabaya,House,5,"Pool, Air Conditioning, Kitchen, Gym, WiFi",85.23,0.58,1483.0,7,1,4.8,55
Bandung,Apartment,1,"Gym, Air Conditioning, WiFi",295.17,0.93,8235.24,8,0,4.6,290
Bandung,House,1,"Parking, Pool, WiFi, Kitchen, Air Conditioning",82.0,0.7,1722.0,3,0,3.1,159
Yogyakarta,House,3,"WiFi, Parking, Pool, Gym",179.31,0.43,2313.1,8,0,3.9,42
Surabaya,House,3,"Parking, WiFi, Air Conditioning",293.29,0.65,5719.16,3,0,3.4,156
Bali,Villa,1,"Air Conditioning, Pool, Gym, Parking, Kitchen",170.07,0.6,3061.26,3,0,4.4,218
Bandung,House,1,"Pool, Kitchen",93.86,0.78,2196.32,5,0,3.1,495
Surabaya,House,1,"WiFi, Gym",141.44,0.89,3776.45,3,0,3.8,153
Bandung,House,4,"WiFi, Pool, Air Conditioning, Parking, Kitchen",74.86,0.62,1392.4,9,0,4.6,265
Bali,Villa,4,"Pool, Air Conditioning, Gym",93.34,0.7,1960.14,7,1,4.7,40
Bali,Apartment,3,"Gym, Parking, Air Conditioning, Pool",61.7,0.63,1166.13,9,0,3.8,216
Bali,Villa,4,"Air Conditioning, WiFi, Kitchen, Pool, Gym",98.19,0.48,1413.94,8,0,4.2,296
Yogyakarta,House,4,"WiFi, Kitchen",69.94,0.62,1300.88,12,1,4.6,10
Surabaya,Studio,5,"Pool, WiFi, Gym, Air Conditioning, Parking",237.47,0.92,6554.17,8,0,3.8,382
Yogyakarta,Villa,5,"Kitchen, Gym, Air Conditioning, Parking",255.99,0.83,6374.15,12,1,3.2,292
Jakarta,Apartment,5,"Gym, Air Conditioning, Parking, Kitchen, Pool",89.13,0.69,1844.99,7,1,3.7,363
Yogyakarta,House,3,"Air Conditioning, Gym, Kitchen",132.78,0.58,2310.37,10,0,4.5,256
Surabaya,Apartment,4,"Air Conditioning, Parking, WiFi",36.45,0.55,601.43,8,0,3.2,248
Bali,Studio,5,"Gym, Pool, WiFi",271.4,0.92,7490.64,11,0,4.9,362
Yogyakarta,Studio,1,"Gym, Parking",159.84,0.69,3308.69,4,0,4.9,184
Bandung,House,2,"Pool, Parking, WiFi, Air Conditioning, Gym",136.15,0.57,2328.16,8,0,3.7,267
Bandung,Studio,1,"Pool, Air Conditioning, Gym, WiFi, Parking",181.98,0.83,4531.3,11,0,4.8,288
Bali,Studio,2,"WiFi, Gym, Kitchen, Parking, Pool",103.38,0.77,2388.08,11,0,4.2,15
Surabaya,Apartment,3,"Gym, WiFi",228.01,0.89,6087.87,12,1,4.0,281
Bali,Studio,3,"Parking, Gym, WiFi, Air Conditioning, Kitchen",81.62,0.75,1836.45,10,0,4.3,241
Yogyakarta,House,4,"Gym, WiFi, Pool, Parking, Air Conditioning",203.05,0.61,3715.82,8,0,3.6,253
Surabaya,Villa,5,"Parking, WiFi",230.29,0.48,3316.18,9,0,4.9,288
Bali,Villa,4,"Pool, Air Conditioning, WiFi",194.24,0.42,2447.42,10,0,3.2,72
Bali,House,2,"WiFi, Gym",258.53,0.47,3645.27,3,0,3.8,286
Surabaya,House,1,"Kitchen, Gym, Pool",157.89,0.51,2415.72,3,0,4.6,279
Yogyakarta,Apartment,3,"Air Conditioning, Gym, Pool",58.49,0.41,719.43,3,0,3.9,126
Bali,Villa,1,"Parking, Air Conditioning, Pool, Kitchen",59.23,0.93,1652.52,2,0,3.4,380
Jakarta,Villa,3,"Air Conditioning, Kitchen, Parking, WiFi, Gym",95.71,0.83,2383.18,2,0,4.1,159
Jakarta,Studio,2,"Parking, WiFi, Pool",72.31,0.51,1106.34,3,0,3.6,27
Jakarta,Villa,2,"Parking, Air Conditioning, Pool",114.5,0.79,2713.65,12,1,3.3,75
Yogyakarta,Studio,5,"Kitchen, Gym, Parking",160.95,0.51,2462.53,8,0,3.1,498
Jakarta,Apartment,5,"Pool, WiFi, Gym, Parking, Air Conditioning",206.16,0.44,2721.31,11,0,4.6,21
Surabaya,House,1,"Kitchen, Air Conditioning, Pool",77.09,0.5,1156.35,5,0,3.3,286
Surabaya,House,4,"Air Conditioning, Gym, Parking, WiFi",116.3,0.87,3035.43,11,0,3.1,219
Bandung,Villa,1,"Parking, Kitchen",77.36,0.66,1531.73,4,0,3.3,355
Surabaya,Studio,5,"Air Conditioning, WiFi, Parking, Gym",133.01,0.5,1995.15,7,1,3.5,458
Surabaya,Villa,4,"Gym, Kitchen, WiFi, Air Conditioning",163.84,0.86,4227.07,4,0,4.1,182
Yogyakarta,House,4,"Pool, Gym, Kitchen, WiFi, Parking",296.7,0.68,6052.68,1,0,4.8,179
