Location,Property_Type,Bedrooms,Amenities,Price_Per_Night,Occupancy_Rate,Total_Revenue,Month,Holiday_Season,Rating,Num_Reviews
Surabaya,Studio,2,"Pool, Parking, Air Conditioning, Gym, WiFi",233.88,0.87,6104.27,11,0,3.1,110
Bali,House,5,"Gym, WiFi, Pool",120.75,0.59,2137.27,12,1,3.3,33
Bandung,Villa,2,"Air Conditioning, Gym, Pool, WiFi",264.73,0.51,4050.37,3,0,3.3,326
Surabaya,Studio,3,"Kitchen, Pool, Parking",105.67,0.76,2409.28,6,1,4.8,418
Yogyakarta,Villa,3,"Air Conditioning, Kitchen, WiFi, Parking",68.34,0.7,1435.14,11,0,3.5,450
Bali,Villa,5,"WiFi, Air Conditioning, Pool, Kitchen",157.45,0.42,1983.87,2,0,3.2,389
Yogyakarta,Studio,3,"Kitchen, Air Conditioning, Pool, WiFi",104.07,0.78,2435.24,1,0,4.5,175
Bali,Apartment,1,"Pool, WiFi",51.34,0.42,646.88,9,0,4.3,495
Jakarta,Apartment,1,"Gym, WiFi, Kitchen, Pool",201.65,0.43,2601.29,1,0,4.6,185
Jakarta,Villa,4,"Kitchen, Parking, WiFi",62.03,0.41,762.97,4,0,4.2,433
Jakarta,Villa,4,"WiFi, Parking, Kitchen, Air Conditioning",48.95,0.51,748.94,1,0,3.0,411
Surabaya,House,2,"Gym, Air Conditioning, Parking",38.21,0.6,687.78,5,0,4.7,143
Jakarta,House,4,"Kitchen, Gym, Parking, Pool, WiFi",282.39,0.41,3473.4,5,0,3.8,454
Bandung,House,1,"Kitchen, Gym, Air Conditioning",177.45,0.7,3726.45,2,0,4.2,402
Surabaya,House,2,"Pool, Gym, Kitchen, WiFi",284.7,0.89,7601.49,4,0,4.1,55
Surabaya,Studio,2,"Air Conditioning, Gym, Pool, Kitchen, Parking",271.43,0.79,6432.89,5,0,3.2,272
Surabaya,Studio,1,"Pool, Parking, Gym, Kitchen, Air Conditioning",87.55,0.81,2127.47,7,1,4.9,335
Bandung,House,3,"Kitchen, Air Conditioning, WiFi, Parking, Pool",269.08,0.89,7184.44,3,0,3.4,321
Surabaya,Apartment,3,"Parking, Gym, Air Conditioning, Pool",281.81,0.53,4480.78,12,1,3.3,293
Surabaya,Apartment,5,"WiFi, Air Conditioning",39.95,0.94,1126.59,10,0,4.8,140
Surabaya,Villa,3,"Parking, Gym",286.59,0.44,3782.99,10,0,4.5,296
Jakarta,Apartment,4,"Pool, Gym",220.96,0.86,5700.77,2,0,4.5,477
Jakarta,Apartment,2,"Air Conditioning, Gym, Parking",48.99,0.61,896.52,3,0,4.7,104
Bali,Studio,1,"Gym, Kitchen, Pool, Air Conditioning, WiFi",88.22,0.61,1614.43,7,1,4.6,41
Jakarta,Villa,4,"Kitchen, Air Conditioning, Parking, Pool",76.65,0.61,1402.7,12,1,3.1,387
Bandung,House,1,"Kitchen, Gym, WiFi, Air Conditioning, Parking",51.81,0.64,994.75,6,1,3.6,47
Bali,Villa,5,"Pool, Kitchen",175.71,0.82,4322.47,6,1,3.1,62
Bali,Apartment,4,"Kitchen, WiFi, Air Conditioning",104.58,0.47,1474.58,3,0,3.2,203
Surabaya,Apartment,3,"Gym, Kitchen",196.52,0.65,3832.14,10,0,4.8,20
Bandung,Apartment,5,"Gym, Kitchen",135.66,0.53,2156.99,11,0,5.0,245
Surabaya,Apartment,2,"WiFi, Gym, Pool, Kitchen, Parking",63.87,0.8,1532.88,2,0,3.3,102
Yogyakarta,Studio,1,"Kitchen, WiFi, Air Conditioning, Gym",258.11,0.51,3949.08,6,1,3.1,392
Bali,House,5,"WiFi, Air Conditioning",207.23,0.68,4227.49,8,0,4.2,134
Surabaya,Apartment,2,"WiFi, Gym, Parking",215.39,0.5,3230.85,8,0,3.5,473
Yogyakarta,House,1,"Pool, Air Conditioning",156.14,0.47,2201.57,1,0,3.4,236
Bali,House,2,"Gym, WiFi",44.64,0.73,977.62,5,0,4.5,460
Jakarta,Villa,5,"Parking, Pool, WiFi, Air Conditioning",152.85,0.65,2980.58,4,0,4.7,457
Bandung,Villa,1,"Air Conditioning, Parking, Kitchen, Pool, WiFi",234.83,0.52,3663.35,4,0,3.1,316
Yogyakarta,House,3,"Kitchen, Parking, WiFi",117.73,0.93,3284.67,3,0,3.3,393
Bandung,Studio,1,"Parking, Air Conditioning, WiFi, Gym, Kitchen",101.55,0.69,2102.08,8,0,4.5,307
Yogyakarta,House,1,"WiFi, Kitchen, Parking",73.99,0.42,932.27,11,0,5.0,292
Bali,Apartment,2,"WiFi, Kitchen",200.23,0.7,4204.83,7,1,4.8,494
Yogyakarta,House,2,"Gym, Pool",232.17,0.85,5920.33,5,0,4.3,283
Surabaya,Studio,1,"Pool, Parking, Gym, Air Conditioning",219.18,0.92,6049.37,4,0,3.4,496
Bandung,House,5,"Parking, Air Conditioning, Pool, Gym, Kitchen",210.68,0.47,2970.59,9,0,4.5,17
Jakarta,Apartment,5,"Air Conditioning, Gym, Kitchen, Pool",197.22,0.51,3017.47,1,0,4.8,283
Bandung,Apartment,5,"Kitchen, Pool",235.9,0.57,4033.89,8,0,4.4,420
Yogyakarta,House,2,"Air Conditioning, Parking",281.82,0.89,7524.59,10,0,4.3,363
Jakarta,Apartment,2,"Pool, WiFi, Parking, Air Conditioning",100.31,0.51,1534.74,8,0,3.9,410
Surabaya,Villa,3,"WiFi, Parking, Gym, Kitchen, Air Conditioning",281.24,0.84,7087.25,8,0,3.9,454
Surabaya,Apartment,2,"WiFi, Kitchen",230.56,0.7,4841.76,3,0,3.6,382
Yogyakarta,Apartment,1,"Parking, Pool",273.68,0.67,5500.97,8,0,5.0,58
Bandung,House,4,"Pool, Air Conditioning, WiFi",208.69,0.83,5196.38,6,1,4.2,254
Jakarta,House,3,"WiFi, Air Conditioning",286.92,0.49,4217.72,4,0,4.6,33
Bandung,Apartment,4,"Air Conditioning, Gym, Kitchen, WiFi",41.16,0.53,654.44,2,0,4.0,225
Jakarta,Villa,2,"Pool, WiFi, Gym, Parking",294.36,0.64,5651.71,6,1,3.7,355
Bali,Villa,1,"Air Conditioning, Kitchen",87.66,0.62,1630.48,12,1,3.2,34
Surabaya,Villa,2,"Air Conditioning, Pool, Kitchen",150.95,0.56,2535.96,8,0,3.8,475
Bali,Villa,2,"WiFi, Parking, Kitchen, Gym",97.09,0.69,2009.76,8,0,4.5,194
Bali,House,1,"Gym, Parking, WiFi, Kitchen",79.04,0.8,1896.96,9,0,4.4,282
Yogyakarta,Villa,4,"Pool, Parking",210.2,0.63,3972.78,10,0,4.6,418
Surabaya,Apartment,5,"WiFi, Kitchen, Pool, Parking",48.92,0.46,675.1,11,0,4.7,289
Jakarta,Apartment,2,"Kitchen, Pool",207.38,0.49,3048.49,10,0,4.2,355
Surabaya,House,5,"Air Conditioning, Parking, Pool, Gym",234.45,0.6,4220.1,4,0,3.3,179
Jakarta,Studio,3,"Parking, Pool, Kitchen, WiFi",204.94,0.49,3012.62,11,0,4.8,374
Bandung,House,5,"Pool, WiFi, Parking, Kitchen, Air Conditioning",194.31,0.76,4430.27,9,0,4.7,403
Bali,Apartment,4,"Air Conditioning, Kitchen",137.55,0.45,1856.93,12,1,3.2,358
Bandung,Villa,4,"WiFi, Air Conditioning, Kitchen, Parking, Pool",126.94,0.56,2132.59,3,0,4.6,231
Yogyakarta,House,4,"Parking, Pool, Air Conditioning, Kitchen, Gym",91.37,0.47,1288.32,6,1,4.7,15
Jakarta,House,5,"Pool, Gym, WiFi, Kitchen",142.09,0.56,2387.11,3,0,4.2,456
Bali,Studio,2,"Air Conditioning, Parking, WiFi, Gym, Kitchen",124.53,0.86,3212.87,6,1,4.8,88
Surabaya,Studio,1,"Air Conditioning, WiFi, Pool, Gym, Parking",276.88,0.77,6395.93,2,0,3.4,73
Bali,Studio,5,"Air Conditioning, Parking, Gym, WiFi",37.53,0.48,540.43,7,1,4.8,270
Bandung,Studio,5,"WiFi, Pool, Parking, Air Conditioning, Gym",170.94,0.63,3230.77,1,0,3.7,354
Surabaya,House,3,"Air Conditioning, Kitchen, Pool",147.5,0.44,1947.0,6,1,4.1,100
Yogyakarta,Studio,3,"Kitchen, Parking, Air Conditioning",297.73,0.82,7324.16,4,0,3.8,395
Yogyakarta,House,5,"Pool, Parking, Gym, WiFi, Air Conditioning",91.79,0.72,1982.66,1,0,3.1,67
Bandung,Studio,5,"Air Conditioning, Gym",223.17,0.71,4753.52,9,0,3.3,48
Yogyakarta,Studio,5,"WiFi, Gym, Kitchen, Parking, Air Conditioning",187.25,0.61,3426.67,12,1,4.4,249
Surabaya,Apartment,1,"WiFi, Gym, Parking, Kitchen",234.18,0.66,4636.76,9,0,4.8,236
Yogyakarta,Apartment,2,"WiFi, Kitchen, Parking, Pool",163.25,0.65,3183.38,12,1,4.6,74
Bandung,Studio,3,"Parking, Gym, WiFi, Air Conditioning, Kitchen",290.07,0.75,6526.58,9,0,4.7,70
Bandung,Apartment,4,"Pool, Gym, Kitchen",299.59,0.56,5033.11,4,0,4.4,284
Bali,Apartment,1,"Kitchen, WiFi, Pool, Parking, Gym",227.29,0.85,5795.89,12,1,4.9,193
Yogyakarta,House,3,"Air Conditioning, Gym, Parking",40.27,0.75,906.08,12,1,3.6,23
Jakarta,House,4,"Parking, WiFi",172.49,0.92,4760.72,7,1,3.6,228
Bali,Studio,2,"Kitchen, Gym, Pool",285.4,0.82,7020.84,2,0,3.1,358
Surabaya,Villa,3,"Kitchen, WiFi, Pool, Gym",250.74,0.86,6469.09,9,0,3.4,162
Surabaya,House,1,"Gym, Pool, Kitchen",237.09,0.63,4481.0,2,0,3.7,434
Bali,Apartment,2,"WiFi, Gym, Kitchen, Air Conditioning, Parking",265.25,0.69,5490.67,2,0,3.2,29
Jakarta,House,5,"Gym, Kitchen",260.47,0.56,4375.9,10,0,3.3,473
Jakarta,House,2,"Gym, Parking",147.25,0.8,3534.0,10,0,4.8,404
Bali,Villa,3,"Parking, Gym, Air Conditioning, Kitchen",143.04,0.84,3604.61,10,0,4.7,142
Yogyakarta,House,3,"WiFi, Parking, Kitchen, Pool, Gym",252.86,0.91,6903.08,9,0,4.6,375
Bandung,House,5,"Air Conditioning, WiFi, Parking, Pool, Gym",44.63,0.73,977.4,7,1,3.9,355
Bali,Studio,2,"Kitchen, Gym, Pool, WiFi",216.86,0.42,2732.44,1,0,4.6,208
Bali,Villa,5,"Pool, WiFi, Kitchen, Gym, Air Conditioning",81.37,0.59,1440.25,9,0,4.5,375
Bandung,House,3,"Air Conditioning, Pool, Parking, Gym",248.56,0.56,4175.81,12,1,4.6,69
Bali,Apartment,3,"Parking, Air Conditioning, Pool, Gym, Kitchen",277.33,0.69,5740.73,9,0,4.0,229
Surabaya,Studio,1,"Air Conditioning, Gym, Pool, WiFi, Parking",276.43,0.67,5556.24,3,0,3.9,244
Bali,Apartment,1,"WiFi, Gym, Kitchen",209.48,0.5,3142.2,1,0,4.8,16
Surabaya,Apartment,2,"Parking, Gym, WiFi, Air Conditioning, Pool",99.98,0.8,2399.52,1,0,3.9,268
Yogyakarta,Studio,3,"WiFi, Pool, Gym",248.79,0.87,6493.42,3,0,3.1,258
Bali,Villa,5,"Air Conditioning, Gym, Parking",87.56,0.65,1707.42,5,0,4.2,111
Jakarta,Apartment,5,"Parking, Pool",84.43,0.62,1570.4,3,0,3.5,426
Bandung,Apartment,4,"WiFi, Kitchen, Gym, Pool",69.56,0.68,1419.02,7,1,5.0,284
Bali,Villa,3,"Air Conditioning, Gym, Kitchen, WiFi",74.14,0.62,1379.0,6,1,3.2,27
Jakarta,Apartment,1,"Gym, Air Conditioning, Kitchen, WiFi",187.33,0.92,5170.31,7,1,3.5,282
Yogyakarta,House,1,"Gym, Kitchen, WiFi, Pool",184.13,0.69,3811.49,10,0,3.1,229
Jakarta,Villa,2,"Air Conditioning, Pool",113.91,0.92,3143.92,1,0,3.4,234
Jakarta,House,5,"WiFi, Pool",82.35,0.6,1482.3,7,1,4.1,238
Yogyakarta,House,2,"Pool, Parking",121.56,0.87,3172.72,5,0,4.5,497
Yogyakarta,Villa,3,"Gym, Parking",167.85,0.76,3826.98,11,0,3.1,257
Yogyakarta,House,3,"Kitchen, WiFi, Parking",42.12,0.76,960.34,11,0,4.7,159
Bali,Villa,2,"Parking, WiFi, Gym, Pool, Air Conditioning",158.15,0.94,4459.83,8,0,3.1,481
Surabaya,Studio,2,"WiFi, Air Conditioning, Parking, Gym, Pool",189.11,0.56,3177.05,4,0,4.3,469
Bandung,House,4,"Kitchen, Parking, Air Conditioning, Pool, Gym",281.58,0.43,3632.38,7,1,3.4,192
Surabaya,Villa,2,"Parking, Gym, Air Conditioning",208.35,0.68,4250.34,4,0,4.6,161
Surabaya,House,3,"Pool, Air Conditioning, Kitchen, WiFi, Gym",158.04,0.58,2749.9,11,0,4.9,304
Bali,Apartment,4,"Air Conditioning, Parking",265.26,0.93,7400.75,6,1,3.2,420
Bali,Studio,4,"Parking, Gym, Kitchen",99.57,0.53,1583.16,4,0,3.9,23
Jakarta,House,1,"Gym, Air Conditioning, Parking",241.02,0.75,5422.95,12,1,3.9,494
Bandung,Apartment,1,"Kitchen, Gym",104.88,0.7,2202.48,4,0,4.6,109
Yogyakarta,Apartment,4,"Parking, Pool, Kitchen, Air Conditioning, Gym",235.26,0.94,6634.33,11,0,4.7,416
Jakarta,Apartment,3,"Air Conditioning, Gym",96.44,0.87,2517.08,9,0,3.9,39
Bali,Studio,4,"Parking, Gym, Air Conditioning",153.26,0.57,2620.75,6,1,3.3,419
Bandung,Studio,1,"Parking, Kitchen, Air Conditioning, Pool",125.09,0.61,2289.15,1,0,4.0,287
Surabaya,Studio,5,"Pool, Gym, Kitchen, WiFi",289.61,0.76,6603.11,4,0,3.4,403
Bandung,Apartment,4,"Air Conditioning, Gym",83.05,0.45,1121.18,11,0,3.9,469
Yogyakarta,Villa,2,"Air Conditioning, WiFi, Parking, Gym, Pool",292.2,0.53,4645.98,7,1,4.6,197
Bandung,Apartment,3,"Air Conditioning, Parking, Pool, Gym",67.94,0.7,1426.74,7,1,4.1,117
Surabaya,House,1,"Parking, Pool",142.38,0.6,2562.84,5,0,4.1,289
Bandung,House,3,"Parking, Air Conditioning",189.74,0.59,3358.4,1,0,4.9,482
Yogyakarta,House,3,"Kitchen, Pool",219.51,0.68,4478.0,3,0,3.8,60
Surabaya,Studio,5,"Pool, Kitchen, WiFi, Air Conditioning",270.57,0.46,3733.87,8,0,3.4,420
Surabaya,Apartment,2,"Air Conditioning, WiFi",185.25,0.7,3890.25,10,0,3.5,186
Surabaya,Villa,4,"Pool, Parking, Kitchen, Gym, Air Conditioning",232.74,0.42,2932.52,4,0,4.4,51
Jakarta,House,3,"Gym, Air Conditioning, Pool",66.5,0.72,1436.4,10,0,4.2,122
Jakarta,Apartment,5,"WiFi, Pool, Kitchen, Gym, Parking",239.03,0.93,6668.94,3,0,4.0,324
Yogyakarta,House,3,"Pool, Parking, Kitchen, Gym, Air Conditioning",112.88,0.87,2946.17,3,0,4.3,163
Yogyakarta,Villa,3,"Parking, WiFi, Air Conditioning, Gym, Kitchen",84.41,0.92,2329.72,1,0,4.6,454
Bali,House,3,"Kitchen, Parking, Air Conditioning, Gym, Pool",208.66,0.94,5884.21,8,0,4.0,90
Yogyakarta,Studio,3,"Air Conditioning, WiFi, Parking",239.49,0.55,3951.59,4,0,3.3,271
Jakarta,Villa,5,"WiFi, Gym, Air Conditioning, Parking, Kitchen",166.14,0.68,3389.26,6,1,4.9,231
Jakarta,Villa,4,"Gym, WiFi, Air Conditioning, Kitchen",110.03,0.45,1485.4,7,1,4.1,490
Surabaya,Villa,3,"Pool, Gym, Air Conditioning, Parking, WiFi",285.65,0.77,6598.51,4,0,3.6,84
Bandung,Studio,2,"WiFi, Parking, Air Conditioning, Kitchen, Gym",267.66,0.93,7467.71,11,0,4.4,185
Surabaya,Villa,3,"Gym, Kitchen, WiFi",41.78,0.69,864.85,7,1,3.6,338
Jakarta,Studio,3,"Kitchen, Air Conditioning, Pool, Parking",208.42,0.79,4939.55,11,0,4.2,139
Jakarta,Apartment,5,"Air Conditioning, Gym, WiFi",30.34,0.46,418.69,1,0,3.4,155
Surabaya,Villa,1,"Air Conditioning, Gym, WiFi, Pool, Parking",118.13,0.77,2728.8,4,0,4.6,468
Yogyakarta,Studio,2,"Parking, WiFi, Kitchen, Gym",149.68,0.47,2110.49,6,1,3.2,192
Jakarta,House,5,"WiFi, Kitchen, Pool, Parking",157.52,0.86,4064.02,12,1,3.4,175
Surabaya,Villa,2,"Parking, WiFi, Gym, Kitchen, Pool",131.06,0.59,2319.76,10,0,4.5,415
Surabaya,House,5,"Pool, Gym",179.36,0.77,4143.22,11,0,3.9,182
Bandung,House,2,"WiFi, Air Conditioning",63.41,0.9,1712.07,1,0,3.1,163
Jakarta,House,5,"Kitchen, Pool, Air Conditioning, Gym, WiFi",257.39,0.65,5019.1,1,0,4.5,154
Bali,House,1,"Kitchen, Gym, Air Conditioning, WiFi, Parking",198.51,0.74,4406.92,7,1,4.9,475
Yogyakarta,House,4,"Pool, WiFi, Parking, Kitchen, Air Conditioning",45.96,0.61,841.07,2,0,4.0,37
Bandung,Villa,4,"Gym, Air Conditioning, Kitchen",298.12,0.66,5902.78,10,0,3.9,369
Surabaya,Apartment,3,"Kitchen, Pool, Air Conditioning",168.25,0.42,2119.95,11,0,4.0,415
Surabaya,Studio,2,"Parking, Air Conditioning",245.12,0.88,6471.17,3,0,3.7,448
Jakarta,Villa,2,"Gym, Parking, Pool, Kitchen",93.41,0.45,1261.04,8,0,3.5,156
Surabaya,Apartment,3,"Kitchen, Pool, Gym",115.03,0.8,2760.72,12,1,3.9,399
Surabaya,House,1,"Air Conditioning, Gym, Parking, WiFi",83.47,0.93,2328.81,11,0,3.2,146
Surabaya,Villa,1,"Kitchen, Air Conditioning",241.32,0.52,3764.59,3,0,3.1,429
Yogyakarta,Apartment,2,"Pool, Parking, WiFi, Gym",224.25,0.64,4305.6,9,0,4.9,499
Surabaya,Studio,3,"Parking, Air Conditioning, WiFi, Gym, Kitchen",169.17,0.82,4161.58,1,0,4.8,316
Bandung,Apartment,3,"Parking, Pool",171.09,0.7,3592.89,8,0,3.3,157
Bali,Apartment,4,"WiFi, Kitchen",276.88,0.94,7808.02,11,0,4.2,208
Yogyakarta,Apartment,1,"WiFi, Air Conditioning",195.4,0.67,3927.54,6,1,4.8,54
Yogyakarta,Apartment,1,"Pool, Air Conditioning",140.7,0.63,2659.23,5,0,3.2,406
Surabaya,Studio,4,"Parking, Air Conditioning, Gym, Kitchen",120.57,0.41,1483.01,8,0,3.7,209
Jakarta,Studio,2,"Kitchen, Air Conditioning, Pool",49.73,0.69,1029.41,5,0,5.0,20
Yogyakarta,Studio,2,"Kitchen, Gym, Pool",149.02,0.58,2592.95,12,1,4.7,202
Bali,Villa,4,"Kitchen, Pool, Gym, Air Conditioning, WiFi",252.83,0.59,4475.09,12,1,3.8,178
Surabaya,Apartment,2,"Gym, Pool, Kitchen, Parking, Air Conditioning",31.04,0.84,782.21,11,0,3.4,438
Bandung,Studio,2,"WiFi, Gym, Kitchen, Air Conditioning, Parking",49.6,0.55,818.4,11,0,3.3,122
Bandung,House,1,"Parking, Air Conditioning, Gym, Pool, WiFi",271.29,0.73,5941.25,1,0,4.5,377
Bali,Apartment,4,"Air Conditioning, Gym, Parking, WiFi, Kitchen",234.71,0.72,5069.74,6,1,3.7,191
Yogyakarta,Apartment,4,"Pool, WiFi",95.4,0.64,1831.68,5,0,3.4,362
Bali,Apartment,5,"WiFi, Parking, Pool, Air Conditioning, Kitchen",245.28,0.55,4047.12,8,0,4.4,41
Jakarta,Apartment,2,"Air Conditioning, Gym",41.91,0.49,616.08,8,0,4.4,120
Bali,Studio,3,"Parking, Pool, Kitchen, WiFi, Air Conditioning",137.73,0.87,3594.75,2,0,3.9,190
Bali,Villa,1,"Parking, WiFi",205.9,0.42,2594.34,4,0,3.1,141
Bali,Villa,1,"Pool, Kitchen, Gym, Parking",216.45,0.76,4935.06,6,1,4.1,38
Bali,Apartment,2,"Parking, Gym, Air Conditioning, Kitchen, WiFi",287.12,0.93,8010.65,10,0,3.6,108
Surabaya,Villa,3,"Pool, Parking, WiFi, Air Conditioning, Gym",62.88,0.94,1773.22,6,1,3.6,278
Bali,Villa,1,"Air Conditioning, Pool",299.11,0.71,6371.04,7,1,3.6,89
Bandung,Studio,3,"Air Conditioning, Parking, WiFi, Pool",129.81,0.71,2764.95,8,0,4.5,125
Jakarta,House,3,"Parking, Gym",226.09,0.64,4340.93,8,0,3.2,371
Bali,Studio,2,"Pool, Gym, Parking, WiFi",232.95,0.82,5730.57,1,0,4.7,126
Bali,Studio,3,"Pool, WiFi, Air Conditioning, Parking, Kitchen",278.94,0.89,7447.7,5,0,3.6,127
Surabaya,Studio,3,"Air Conditioning, Pool",51.3,0.86,1323.54,2,0,4.6,279
Surabaya,Apartment,2,"Pool, Parking, WiFi",106.5,0.55,1757.25,5,0,3.1,118
Jakarta,Studio,3,"Parking, Kitchen",261.77,0.91,7146.32,6,1,3.1,420
Jakarta,Studio,2,"Kitchen, WiFi",186.06,0.74,4130.53,7,1,4.8,368
Yogyakarta,Villa,3,"Gym, Air Conditioning",132.03,0.55,2178.49,7,1,3.2,303
Bali,Studio,3,"Pool, Parking",298.19,0.44,3936.11,6,1,4.0,89
Jakarta,House,5,"Parking, Pool, Gym, Air Conditioning, Kitchen",69.16,0.88,1825.82,2,0,4.2,468
Yogyakarta,House,2,"Kitchen, Gym",74.99,0.45,1012.37,11,0,4.6,310
Jakarta,Villa,3,"Kitchen, Gym, Pool, WiFi",139.26,0.54,2256.01,4,0,4.2,154
Yogyakarta,Villa,1,"Kitchen, Gym, Pool, Parking",207.31,0.73,4540.09,11,0,3.0,149
Bali,Apartment,2,"WiFi, Parking",75.55,0.73,1654.55,7,1,5.0,439
Surabaya,House,5,"Pool, Gym, WiFi, Parking, Kitchen",232.18,0.69,4806.13,5,0,4.6,361
Surabaya,Studio,5,"Kitchen, Gym, WiFi, Parking",249.36,0.54,4039.63,2,0,4.4,347
Bali,Apartment,4,"Pool, Parking, WiFi, Air Conditioning, Gym",231.61,0.51,3543.63,1,0,5.0,283
Surabaya,Studio,5,"Gym, Parking, Pool",134.93,0.88,3562.15,11,0,3.0,104
Bali,Apartment,3,"Kitchen, Gym, Pool, Air Conditioning",111.74,0.83,2782.33,12,1,3.5,253
